Date/Time,3m T,5m T,7m T,Surface PAR
7/4/19 6:48,21.85,20.27,18.01,215
7/4/19 7:03,21.81,20.24,18.1,138
7/4/19 7:18,21.84,20.23,17.83,120
7/4/19 7:33,21.85,20.2,17.89,214
7/4/19 7:48,21.84,20.19,18,428
7/4/19 8:03,21.79,20.18,18.13,334
7/4/19 8:18,21.8,20.16,18.14,364
7/4/19 8:33,21.79,20.18,18.26,453
7/4/19 8:48,21.81,20.15,18.14,509
7/4/19 9:03,21.81,20.24,18.34,609
7/4/19 9:18,21.79,20.23,18.53,952
7/4/19 9:33,21.93,20.23,18.19,811
7/4/19 9:48,21.86,20.26,18.26,660
7/4/19 10:03,21.8,20.28,18.32,682
7/4/19 10:18,21.83,20.28,18.34,646
7/4/19 10:33,21.9,20.28,18.6,822
7/4/19 10:48,21.95,20.37,18.52,726
7/4/19 11:03,21.87,20.39,18.73,727
7/4/19 11:18,21.99,20.44,18.72,1242
7/4/19 11:33,21.99,20.44,18.83,887
7/4/19 11:48,21.96,20.58,18.79,1178
7/4/19 12:03,21.88,20.47,18.95,956
7/4/19 12:18,21.89,20.35,18.78,1001
7/4/19 12:33,22,20.45,18.43,1208
7/4/19 12:48,21.92,20.47,18.53,1137
7/4/19 13:03,21.97,20.55,18.61,851
7/4/19 13:18,21.96,20.53,18.55,669
7/4/19 13:33,21.99,20.6,18.58,769
7/4/19 13:48,22.02,20.63,18.66,783
7/4/19 14:03,22.05,20.71,18.89,881
7/4/19 14:18,22.1,20.51,18.96,754
7/4/19 14:33,22.16,20.52,18.75,1264
7/4/19 14:48,22.06,20.43,18.94,878
7/4/19 15:03,22.33,20.43,18.86,693
7/4/19 15:18,22.19,20.36,19.24,443
7/4/19 15:33,22.42,20.44,18.59,694
7/4/19 15:48,22.5,20.88,18.66,268
7/4/19 16:03,22.41,20.37,18.23,153
7/4/19 16:18,22.34,20.35,18.85,189
7/4/19 16:33,22.74,20.38,18.43,150
7/4/19 16:48,22.58,20.4,18.93,153
7/4/19 17:03,22.4,20.26,18.4,127
7/4/19 17:18,22.6,20.46,18.9,121
7/4/19 17:33,22.89,20.31,18.94,112
7/4/19 17:48,22.49,20.45,18.97,99
7/4/19 18:03,22.56,20.47,19.03,100
7/4/19 18:18,22.64,20.37,18.84,82
7/4/19 18:33,22.5,20.46,18.82,79
7/4/19 18:48,22.34,20.32,18.91,78
